DATE,GOLD_TOKYO,PT_TOKYO,GOLD_NY,PT_NY,USDJPY
2018/01/04,5073,3665,1318.5,962.3,112.506
2018/01/05,5124,3706,1321.6,970.2,112.72
2018/01/09,5127,3750,1320.4,976.4,113.095
2018/01/10,5078,3711,1313.7,972.3,112.646
2018/01/11,5057,3714,1319.3,978.8,111.31
2018/01/12,5065,3752,1322.5,990.8,111.225
2018/01/15,5100,3765,1334.9,996.2,111.037
2018/01/16,5109,3783,1334.9,996.2,110.528
2018/01/17,5092,3784,1337.1,1004.9,110.445
2018/01/18,5094,3805,1339.2,1010.9,111.285
2018/01/19,5075,3800,1327.2,1007.2,111.097
2018/01/22,5092,3843,1333.1,1020.1,110.782
2018/01/23,5099,3792,1331.9,996.8,110.913
2018/01/24,5093,3791,1336.7,1007.8,110.302
2018/01/25,5103,3790,1356.3,1015.8,109.216
2018/01/26,5085,3803,1362.9,1032.1,109.405
2018/01/29,5053,3762,1352.1,1018.4,108.632
2018/01/30,5028,3753,1340.3,1012.7,108.95
2018/01/31,5011,3730,1335.4,1001.8,108.772
2018/02/01,5057,3762,1343.1,1004.3,109.178
2018/02/02,5072,3777,1347.9,1007.8,109.25
2018/02/05,5044,3738,1337.3,999.4,110.177
2018/02/06,5037,3734,1336.5,995.5,109.05
2018/02/07,5000,3724,1329.5,994.3,109.557
2018/02/08,4959,3682,1314.6,981.7,109.326
2018/02/09,4956,3654,1319,978.4,108.744
2018/02/13,4954,3637,1326.4,972.8,108.658
2018/02/14,4950,3629,1330.4,975.7,107.812
2018/02/15,4975,3671,1358,999.1,107.006
2018/02/16,4949,3660,1355.3,1001.1,106.03
2018/02/19,4938,3683,1356.2,1012.3,106.302
2018/02/20,4946,3706,1356.2,1012.3,106.302
2018/02/21,4924,3705,1331.2,1004,107.327
2018/02/22,4926,3680,1332.1,996.6,107.67
2018/02/23,4900,3684,1332.7,999.4,106.75
2018/02/26,4902,3674,1330.3,998.8,106.836
2018/02/27,4921,3693,1332.8,1001.8,106.926
2018/02/28,4879,3641,1318.6,984.6,107.327
2018/03/01,4842,3609,1317.9,988.1,106.64
2018/03/02,4826,3547,1305.2,957.8,106.234
2018/03/05,4822,3527,1323.4,965.1,105.686
2018/03/06,4849,3537,1319.9,962.1,106.21
2018/03/07,4871,3527,1335.2,970.6,106.2
2018/03/08,4846,3488,1327.6,953.2,106.066
