Inference for Stan model: anon_model_41af6b195d0a37a4a461f78cd03c2699.
4 chains, each with iter=6000; warmup=1000; thin=5; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                       mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
Rt[1]                212.13    5.16 305.56   7.27  55.67 121.81  255.4 960.89   3513    1.0
Rt[2]                 37.19    0.64  40.11   1.83  11.59  24.93   48.6 140.26   3882    1.0
Rt[3]                 13.42    0.24  14.46   0.77   4.49   9.39  17.47  50.88   3721    1.0
Rt[4]                  6.89    0.11   6.87   0.45   2.48   4.96   8.96  24.29   4022    1.0
Rt[5]                  4.17    0.06   3.86   0.29   1.59   3.16   5.46  14.11   3805    1.0
Rt[6]                  2.91    0.04   2.59   0.18   1.15   2.21   3.85   9.54   3787    1.0
Rt[7]                  2.31    0.03   1.97   0.15   0.91   1.81   3.09   7.48   4131    1.0
Rt[8]                  1.92    0.03   1.59   0.14   0.78   1.52   2.59   6.15   4008    1.0
Rt[9]                  1.73    0.02   1.47   0.11   0.69   1.36    2.3   5.53   3953    1.0
Rt[10]                 1.57    0.02   1.28   0.12   0.64   1.25   2.13    5.0   3934    1.0
Rt[11]                 1.48    0.02   1.19   0.12   0.61   1.19   2.03    4.5   4010    1.0
Rt[12]                 1.46    0.02   1.24    0.1   0.58   1.13   1.99    4.7   3708    1.0
Rt[13]                 1.44    0.02   1.18   0.12   0.59   1.15   1.94   4.44   3988    1.0
Rt[14]                 1.47    0.02   1.19   0.12   0.63   1.18   1.98    4.6   3984    1.0
Rt[15]                 1.46    0.02   1.14   0.12   0.62   1.19   2.01   4.42   3819    1.0
Rt[16]                 1.45    0.02   1.18    0.1   0.61   1.13   1.97   4.61   3949    1.0
Rt[17]                 1.46    0.02   1.16   0.13   0.62   1.18   2.01   4.56   3829    1.0
Rt[18]                 1.43    0.02   1.22   0.11   0.58   1.13   1.91   4.56   3687    1.0
Rt[19]                 1.38    0.02   1.11    0.1   0.58   1.09   1.88   4.37   3822    1.0
Rt[20]                 1.44    0.02   1.16   0.12   0.61   1.14   1.96   4.38   4094    1.0
Rt[21]                 1.52    0.02    1.2   0.13   0.66   1.23   2.02   4.44   3964    1.0
Rt[22]                 1.62    0.02   1.24   0.13   0.71   1.34   2.19   4.75   3855    1.0
Rt[23]                 1.62    0.02   1.27   0.13   0.71   1.32   2.16   4.91   4028    1.0
Rt[24]                  1.5    0.02   1.16   0.13   0.64   1.23   2.04   4.37   4260    1.0
Rt[25]                 1.32    0.02   1.01   0.12   0.57   1.07   1.78   3.91   3619    1.0
Rt[26]                 1.27    0.02   1.03   0.11   0.54    1.0   1.73   3.97   3695    1.0
Rt[27]                 1.16    0.01   0.91    0.1   0.49   0.94   1.59   3.53   3818    1.0
Rt[28]                 1.08    0.01   0.86    0.1   0.47   0.87   1.45   3.37   4329    1.0
Rt[29]                 1.08    0.01   0.86   0.09   0.46   0.85   1.47   3.36   4078    1.0
Rt[30]                 1.12    0.01    0.9   0.09   0.49   0.89   1.52   3.45   4000    1.0
Rt[31]                 1.19    0.01    0.9    0.1   0.55   0.98    1.6   3.49   3767    1.0
Rt[32]                 1.33    0.02   1.02   0.11   0.59   1.07   1.81   3.85   4304    1.0
Rt[33]                 1.59    0.02   1.26   0.14    0.7   1.29   2.12   4.78   3922    1.0
Rt[34]                 1.93    0.02   1.44    0.2   0.88   1.57   2.67   5.54   4005    1.0
Rt[35]                 2.64    0.03   1.92   0.27   1.23    2.2   3.58   7.54   3793    1.0
Rt[36]                 3.01    0.04    2.1   0.36   1.47   2.56   4.07   8.22   3249    1.0
Rt[37]                 2.41    0.03   1.73   0.26   1.15   1.99    3.3    6.9   4177    1.0
Rt[38]                 1.39    0.02   1.05   0.14   0.65   1.12   1.88   4.16   3596    1.0
Rt[39]                 0.98    0.01   0.72   0.09   0.46   0.82   1.32   2.87   3790    1.0
Rt[40]                 0.87  9.6e-3   0.62    0.1   0.42   0.74   1.17   2.41   4204    1.0
Rt[41]                 0.87    0.01   0.63    0.1   0.41   0.74   1.17   2.45   3930    1.0
Rt[42]                 0.92    0.01   0.64   0.11   0.46   0.77   1.23   2.52   4004    1.0
Rt[43]                 1.12    0.01    0.8   0.14   0.55   0.94    1.5   3.19   3787    1.0
Rt[44]                 1.38    0.02   0.96   0.16   0.67   1.16   1.85   3.81   3908    1.0
Rt[45]                 1.58    0.02   1.08   0.19   0.77   1.36    2.1   4.28   3891    1.0
Rt[46]                 1.65    0.02   1.15    0.2   0.83   1.39   2.21   4.55   4285    1.0
Rt[47]                 2.18    0.02   1.41   0.27   1.15   1.91   2.92    5.6   3675    1.0
Rt[48]                 2.21    0.02   1.32   0.33   1.21   1.99   2.97   5.42   3716    1.0
Rt[49]                 2.08    0.02   1.29   0.25    1.1   1.87   2.83   5.23   3911    1.0
Rt[50]                 1.95    0.02   1.12   0.29   1.08    1.8   2.64   4.47   3484    1.0
Rt[51]                 1.92    0.02   1.07   0.29   1.12   1.79   2.57   4.37   4027    1.0
Rt[52]                 1.83    0.02   0.96   0.33   1.12   1.73   2.39   4.03   3506    1.0
Rt[53]                 1.77    0.01   0.89   0.33   1.11   1.68    2.3   3.78   4009    1.0
Rt[54]                 1.61    0.01   0.79   0.33   1.03   1.55    2.1   3.29   3370    1.0
Rt[55]                 1.54    0.01   0.74   0.33   1.01   1.47    2.0   3.17   3584    1.0
Rt[56]                 1.68    0.01    0.7   0.46    1.2   1.62   2.12    3.2   3848    1.0
