DATE,GOLD_TOKYO,PT_TOKYO,GOLD_NY,PT_NY,USDJPY
2019/01/07,4797,3072,1285.8,827.2,108.53
2019/01/08,4821,3087,1289.9,824.3,108.69
2019/01/09,4815,3086,1285.9,821.8,108.74
2019/01/10,4813,3075,1292,825.3,108.15
2019/01/11,4806,3066,1287.4,826.1,108.43
2019/01/15,4819,3006,1291.3,802.5,108.15
2019/01/16,4824,2992,1288.4,800.1,108.69
2019/01/17,4852,3036,1293.8,807.9,109.06
2019/01/18,4855,3047,1292.3,812.3,109.24
2019/01/21,4841,3027,1282.6,802.1,109.78
2019/01/22,4829,3016,1282.6,802.1,109.67
2019/01/23,4833,2982,1283.4,791.2,109.36
2019/01/24,4837,3006,1284,796.4,109.6
2019/01/25,4836,3040,1279.8,805,109.63
2019/01/28,4886,3077,1298.1,818.3,109.54
2019/01/29,4891,3062,1303.1,814.5,109.32
2019/01/30,4920,3073,1308.9,815.8,109.36
2019/01/31,4932,3070,1309.9,816.2,109
2019/02/01,4941,3085,1325.2,824.7,108.87
2019/02/04,4951,3112,1322.1,826.7,109.5
2019/02/05,4951,3113,1319.3,822.8,109.87
2019/02/06,4960,3101,1319.2,819.9,109.96
2019/02/07,4930,3049,1314.4,813.8,110
2019/02/08,4934,3024,1314.2,797.3,109.81
2019/02/12,4952,2993,1311.9,786.6,110.36
2019/02/13,4964,3015,1314,789.6,110.47
2019/02/14,4977,3009,1315.1,791.8,110.97
2019/02/15,4977,3001,1313.9,789.2,110.49
2019/02/18,5008,3057,1322.1,806.9,110.5
2019/02/19,5026,3068,1322.1,806.9,110.58
2019/02/20,5082,3120,1344.8,821,110.6
2019/02/21,5091,3156,1347.9,834.2,110.82
2019/02/22,5030,3147,1327.8,826.3,110.71
2019/02/25,5056,3221,1332.8,845.9,110.69
2019/02/26,5061,3258,1329.5,853.6,111.03
2019/02/27,5046,3270,1328.5,860.4,110.54
2019/02/28,5028,3302,1321.2,869.9,110.99
2019/03/01,5029,3329,1316.1,875.2,111.39
2019/03/04,4984,3298,1299.2,863.7,111.92
2019/03/05,4951,3209,1287.5,838.9,111.74
2019/03/06,4965,3215,1284.7,838,111.86
2019/03/07,4952,3175,1287.6,828.1,111.75
2019/03/08,4947,3130,1286.1,817.1,111.57
2019/03/11,4966,3114,1299.3,817.6,111.17
2019/03/12,4961,3151,1291.1,816.8,111.29
2019/03/13,4989,3209,1298.1,831.9,111.35
2019/03/14,5012,3225,1309.3,841.7,111.3
2019/03/15,4983,3170,1295.1,827.1,111.66
2019/03/18,4993,3179,1302.9,831.8,111.47
2019/03/19,5003,3212,1301.5,834,111.43
2019/03/20,5016,3284,1306.5,852.6,111.39
2019/03/22,4989,3266,1307.3,861.1,110.82
2019/03/25,4970,3206,1312.3,848.4,109.92
2019/03/26,5007,3265,1322.6,857.7,110.04
2019/03/27,5006,3280,1315,859.8,110.58
2019/03/28,4970,3257,1310.4,856.5,110.51
2019/03/29,4912,3222,1289.8,843.8,110.64
2019/04/01,4932,3249,1298.5,854.1,110.86
2019/04/02,4938,3267,1294.2,855.3,111.36
2019/04/03,4948,3273,1295.4,852.5,111.32
2019/04/04,4962,3351,1295.3,874.2,111.44
2019/04/05,4976,3455,1294.3,904.5,111.61
2019/04/08,4975,3469,1295.6,905.4,111.73
2019/04/09,4992,3453,1301.9,912.9,111.5
2019/04/10,5001,3375,1308.3,899.3,111.14
2019/04/11,5005,3431,1313.9,908.9,110.95
2019/04/12,4972,3414,1293.3,895.3,111.64
2019/04/15,4970,3434,1295.2,898.5,112.03
2019/04/16,4965,3420,1291.3,894.5,111.96
2019/04/17,4929,3397,1277.2,884.2,112
2019/04/18,4918,3429,1276.8,891.3,112.04
2019/04/19,4916,3488,1276,903.7,111.99
2019/04/22,4925,3498,1276,903.7,111.92
2019/04/23,4909,3472,1277.6,902.2,111.93
2019/04/24,4899,3434,1273.2,893.8,111.88
2019/04/25,4929,3418,1279.4,888.6,112.1
2019/04/26,4909,3406,1279.7,889.7,111.59
